Apps                                    Avg Num     Num Machines
backgroundtaskmanagementagent           1.0         17
com.apple.BKAgentService                1.0         3
com.apple.Safari.SandboxBroker          1.0         4
com.apple.siri-distributed-eval         1.0         7
commerce                                1.0         9
corespeechd                             1.0         13
displaypolicyd                          1.0         17
familycircled                           1.0         13
kdc                                     1.0         1
logd                                    1.0         17
loginwindow                             1.0         20
mds                                     1.0         18
mediaremoted                            1.0         9
networkserviceproxy                     1.0         19
nsurlstoraged                           1.0         18
secd                                    1.0         18
suhelperd                               1.0         17
syspolicyd                              1.0         13
systemstats                             1.0         17
usernoted                               1.0         14
fud                                     1.0         4
printtool                               1.0         7
DashboardClient                         1.0         2
PrintUITool                             1.0         7
ReportCrash                             1.0         3
com.apple.WebKit.WebContent             1.0         6
findmydeviced                           1.0         18
parsecd                                 1.0         9
photoanalysisd                          1.0         4
Messages                                1.0         14
accountsd                               1.0         7
cfprefsd                                1.0         5
com.apple.AmbientDisplayAgent           1.0         4
com.apple.security.pboxd                1.0         15
filecoordinationd                       1.0         7
gamed                                   1.0         4
knowledge-agent                         1.0         2
nfcd                                    1.0         2
pbs                                     1.0         7
spindump_agent                          1.0         4
symptomsd                               1.0         20
RStudio                                 1.0         3
Calendar                                1.0         2
CoreServicesUIAgent                     1.0         2
Flux                                    1.0         1
Magnet                                  1.0         1
PulseTray                               1.0         2
SidecarRelay                            1.0         6
Stickies                                1.0         2
WiFiAgent                               1.0         20
callservicesd                           1.0         2
imagent                                 1.0         3
storeuid                                1.0         1
Microsoft\x20AutoUpdate                 1.0         1
System\x20Preferences                   1.0         4
digest-service                          1.0         1
keyboardservicesd                       1.0         1
Siri                                    1.0         7
TextEdit                                1.0         6
UnrealCEFSubProcess                     1.0         1
QuickLookUIService                      1.0         2
EpsonLowInkReminderAgent                1.0         1
SCIM_Extension                          1.0         3
pma                                     1.0         1
com.apple.preference.network.re         1.0         1
DocumentPopoverViewService              1.0         3
NetAuthSysAgent                         1.0         1
com.apple.preference.desktopscr         1.0         1
com.apple.preference.displays.A         1.0         1
com.apple.preference.energysave         1.0         1
com.apple.preference.general.re         1.0         1
ProtectedCloudKeySyncing                1.0         2
com.apple.PerformanceAnalysis.a         1.0         3
expressvpnd                             1.0         2
hidd                                    1.0         2
mtmfs                                   1.0         2
ntpd                                    1.0         3
suggestd                                1.0         3
TeXShop                                 1.0         2
com.apple.MediaLibraryService           1.0         3
Similar\x20Photo\x20Cleaner             1.0         1
remoting_me2me_host                     1.0         1
spindump                                1.0         1
R                                       1.0         2
rsession                                1.0         3
bash                                    1.0         20
routined                                1.0         1
TouchBarServer                          1.0         1
biometrickitd                           1.0         1
RdrCEF\x20Helper                        1.0         2
AdobeCRDaemon                           1.0         1
AirPlayUIAgent                          1.0         1
AppleSpell                              1.0         1
CMFSyncAgent                            1.0         1
CalNCService                            1.0         1
CallHistoryPluginHelper                 1.0         1
CallHistorySyncHelper                   1.0         1
DataDetectorsDynamicData                1.0         1
IDSKeychainSyncingProxy                 1.0         1
IMDPersistenceAgent                     1.0         1
IMLoggingAgent                          1.0         1
